date,player_1,player_2,winner,p1_rank,p2_rank,target
2024-05-27,Miomir Kecmanovic,Thiago Monteiro,Miomir Kecmanovic,57.0,86.0,1
2024-05-27,Alexei Popyrin,Thanasi Kokkinakis,Thanasi Kokkinakis,51.0,100.0,0
2024-05-27,Jozef Kovalik,Marcos Giron,Jozef Kovalik,145.0,50.0,1
2024-05-27,Emil Ruusuvuori,Soon Woo Kwon,Soon Woo Kwon,67.0,494.0,0
2024-05-27,Dusan Lajovic,Roman Safiullin,Dusan Lajovic,61.0,42.0,1
2024-05-27,Nuno Borges,Tomas Machac,Tomas Machac,47.0,34.0,0
2024-05-27,Fabian Marozsan,Mikhail Kukushkin,Fabian Marozsan,43.0,136.0,1
2024-05-27,Jordan Thompson,Maximilian Marterer,Maximilian Marterer,36.0,101.0,0
2024-05-27,Pedro Martinez,Thiago Agustin Tirante,Pedro Martinez,48.0,109.0,1
2024-05-27,Otto Virtanen,Filip Misolic,Filip Misolic,156.0,243.0,0
2024-05-27,Gael Monfils,Thiago Seyboth Wild,Gael Monfils,37.0,58.0,1
2024-05-27,Luca Nardi,Alexandre Muller,Alexandre Muller,72.0,90.0,0
2024-05-27,Jaume Munar,Roberto Bautista Agut,Jaume Munar,64.0,81.0,1
2024-05-27,Nicolas Moreno De Alboran,Brandon Nakashima,Brandon Nakashima,130.0,84.0,0
2024-05-27,Kei Nishikori,Gabriel Diallo,Kei Nishikori,350.0,166.0,1
2024-05-27,Terence Atmane,Sebastian Ofner,Sebastian Ofner,121.0,45.0,0
2024-05-27,Arthur Rinderknech,Adam Walton,Arthur Rinderknech,69.0,96.0,1
2024-05-27,Luca Van Assche,Denis Shapovalov,Denis Shapovalov,103.0,118.0,0
2024-05-27,Alexander Shevchenko,Aslan Karatsev,Alexander Shevchenko,59.0,82.0,1
2024-05-27,Max Purcell,Henri Squire,Henri Squire,94.0,221.0,0
2024-05-27,Jan Lennard Struff,Roman Andres Burruchaga,Jan Lennard Struff,41.0,144.0,1
2024-05-27,Andy Murray,Stan Wawrinka,Stan Wawrinka,75.0,98.0,0
2024-05-27,Zhizhen Zhang,Aleksandar Vukic,Zhizhen Zhang,44.0,89.0,1
2024-06-10,Sebastian Korda,Alex De Minaur,Alex De Minaur,26.0,9.0,0
2024-06-10,Alex De Minaur,Ugo Humbert,Alex De Minaur,9.0,16.0,1
2024-06-10,Tallon Griekspoor,Sebastian Korda,Sebastian Korda,23.0,26.0,0
2024-06-10,Alex De Minaur,Milos Raonic,Alex De Minaur,9.0,197.0,1
2024-06-10,Gijs Brouwer,Ugo Humbert,Ugo Humbert,232.0,16.0,0
2024-06-10,Tallon Griekspoor,Aleksandar Vukic,Tallon Griekspoor,23.0,87.0,1
2024-06-10,Tommy Paul,Sebastian Korda,Sebastian Korda,13.0,26.0,0
2024-06-10,Alex De Minaur,Zizou Bergs,Alex De Minaur,9.0,81.0,1
2024-06-10,Roberto Bautista Agut,Milos Raonic,Milos Raonic,85.0,197.0,0
2024-06-10,Ugo Humbert,Arthur Fils,Ugo Humbert,16.0,38.0,1
2024-06-10,Adrian Mannarino,Gijs Brouwer,Gijs Brouwer,21.0,232.0,0
2024-06-10,Tallon Griekspoor,Mackenzie Mcdonald,Tallon Griekspoor,23.0,74.0,1
2024-06-10,Karen Khachanov,Aleksandar Vukic,Aleksandar Vukic,22.0,87.0,0
2024-06-10,Sebastian Korda,Luca Nardi,Sebastian Korda,26.0,73.0,1
2024-06-10,Alexei Popyrin,Tommy Paul,Tommy Paul,49.0,13.0,0
2024-06-10,Marc Andrea Huesler,Roberto Bautista Agut,Roberto Bautista Agut,201.0,85.0,0
2024-06-10,Milos Raonic,Jordan Thompson,Milos Raonic,197.0,37.0,1
2024-06-10,Arthur Cazaux,Arthur Fils,Arthur Fils,75.0,38.0,0
2024-06-10,Gijs Brouwer,Jakub Mensik,Gijs Brouwer,232.0,79.0,1
2024-06-10,Stefano Napolitano,Adrian Mannarino,Adrian Mannarino,125.0,21.0,0
2024-06-10,Tallon Griekspoor,Miomir Kecmanovic,Tallon Griekspoor,23.0,53.0,1
2024-06-10,Botic Van De Zandschulp,Mackenzie Mcdonald,Mackenzie Mcdonald,99.0,74.0,0
2024-06-10,Aleksandar Vukic,Max Purcell,Aleksandar Vukic,87.0,100.0,1
2024-06-10,Tristan Schoolkate,Sebastian Korda,Sebastian Korda,185.0,26.0,0
2024-06-10,Luca Nardi,David Goffin,Luca Nardi,73.0,109.0,1
2024-06-10,Rinky Hijikata,Alexei Popyrin,Alexei Popyrin,80.0,49.0,0
2024-06-10,Jack Draper,Matteo Berrettini,Jack Draper,40.0,95.0,1
2024-06-10,Brandon Nakashima,Jack Draper,Jack Draper,70.0,40.0,0
2024-06-10,Matteo Berrettini,Lorenzo Musetti,Matteo Berrettini,95.0,30.0,1
2024-06-10,Jan Lennard Struff,Brandon Nakashima,Brandon Nakashima,35.0,70.0,0
2024-06-10,Jack Draper,Frances Tiafoe,Jack Draper,40.0,28.0,1
2024-06-10,Alexander Bublik,Lorenzo Musetti,Lorenzo Musetti,17.0,30.0,0
2024-06-10,Matteo Berrettini,James Duckworth,Matteo Berrettini,95.0,101.0,1
2024-06-10,Richard Gasquet,Brandon Nakashima,Brandon Nakashima,116.0,70.0,0
2024-06-10,Jan Lennard Struff,Arthur Rinderknech,Jan Lennard Struff,35.0,67.0,1
2024-06-10,Yannick Hanfmann,Frances Tiafoe,Frances Tiafoe,91.0,28.0,0
2024-06-10,Jack Draper,Marcos Giron,Jack Draper,40.0,54.0,1
2024-06-10,Dominik Koepfer,Lorenzo Musetti,Lorenzo Musetti,65.0,30.0,0
2024-06-10,Alexander Bublik,Hamad Medjedovic,Alexander Bublik,17.0,131.0,1
2024-06-10,Denis Shapovalov,Matteo Berrettini,Matteo Berrettini,117.0,95.0,0
2024-06-10,James Duckworth,Ben Shelton,James Duckworth,101.0,14.0,1
2024-06-10,Christopher Eubanks,Brandon Nakashima,Brandon Nakashima,45.0,70.0,0
2024-06-10,Arthur Rinderknech,Alex Michelsen,Arthur Rinderknech,67.0,61.0,1
2024-06-10,Flavio Cobolli,Jan Lennard Struff,Jan Lennard Struff,50.0,35.0,0
2024-06-10,Yannick Hanfmann,Henri Squire,Yannick Hanfmann,91.0,178.0,1
2024-06-10,Andy Murray,Marcos Giron,Marcos Giron,97.0,54.0,0
2024-06-10,Jack Draper,Sebastian Ofner,Jack Draper,40.0,52.0,1
2024-06-10,Giovanni Mpetshi Perricard,Lorenzo Musetti,Lorenzo Musetti,66.0,30.0,0
2024-06-10,Dominik Koepfer,Zhizhen Zhang,Dominik Koepfer,65.0,44.0,1
2024-06-10,Fabian Marozsan,Hamad Medjedovic,Hamad Medjedovic,42.0,131.0,0
2024-06-10,Matteo Berrettini,Roman Safiullin,Matteo Berrettini,95.0,43.0,1
2024-06-10,Matteo Martineau,Denis Shapovalov,Denis Shapovalov,179.0,117.0,0
2024-06-10,James Duckworth,Pierre Hugues Herbert,James Duckworth,101.0,139.0,1
2024-06-17,Hubert Hurkacz,Jannik Sinner,Jannik Sinner,9.0,1.0,0
2024-06-17,Jannik Sinner,Zhizhen Zhang,Jannik Sinner,1.0,42.0,1
2024-06-17,Alexander Zverev,Hubert Hurkacz,Hubert Hurkacz,4.0,9.0,0
2024-06-17,Jannik Sinner,Jan Lennard Struff,Jannik Sinner,1.0,41.0,1
2024-06-17,Christopher Eubanks,Zhizhen Zhang,Zhizhen Zhang,44.0,42.0,0
2024-06-17,Hubert Hurkacz,Marcos Giron,Hubert Hurkacz,9.0,53.0,1
2024-06-17,Arthur Fils,Alexander Zverev,Alexander Zverev,37.0,4.0,0
2024-06-17,Jannik Sinner,Fabian Marozsan,Jannik Sinner,1.0,45.0,1
2024-06-17,Stefanos Tsitsipas,Jan Lennard Struff,Jan Lennard Struff,11.0,41.0,0
2024-06-17,Zhizhen Zhang,Daniil Medvedev,Zhizhen Zhang,42.0,5.0,1
2024-06-17,Alexander Bublik,Christopher Eubanks,Christopher Eubanks,17.0,44.0,0
2024-06-17,Hubert Hurkacz,James Duckworth,Hubert Hurkacz,9.0,88.0,1
2024-06-17,Matteo Berrettini,Marcos Giron,Marcos Giron,65.0,53.0,0
2024-06-17,Arthur Fils,Dominik Koepfer,Arthur Fils,37.0,70.0,1
2024-06-17,Lorenzo Sonego,Alexander Zverev,Alexander Zverev,57.0,4.0,0
2024-06-17,Jannik Sinner,Tallon Griekspoor,Jannik Sinner,1.0,27.0,1
2024-06-17,Roman Safiullin,Fabian Marozsan,Fabian Marozsan,40.0,45.0,0
2024-06-17,Jan Lennard Struff,Luciano Darderi,Jan Lennard Struff,41.0,34.0,1
2024-06-17,Henri Squire,Stefanos Tsitsipas,Stefanos Tsitsipas,181.0,11.0,0
2024-06-17,Daniil Medvedev,Nuno Borges,Daniil Medvedev,5.0,51.0,1
2024-06-17,Sebastian Ofner,Zhizhen Zhang,Zhizhen Zhang,52.0,42.0,0
2024-06-17,Christopher Eubanks,Pedro Martinez,Christopher Eubanks,44.0,46.0,1
2024-06-17,Max Purcell,Alexander Bublik,Alexander Bublik,101.0,17.0,0
2024-06-17,Hubert Hurkacz,Flavio Cobolli,Hubert Hurkacz,9.0,49.0,1
2024-06-17,Joao Fonseca,James Duckworth,James Duckworth,217.0,88.0,0
2024-06-17,Matteo Berrettini,Alex Michelsen,Matteo Berrettini,65.0,61.0,1
2024-06-17,Andrey Rublev,Marcos Giron,Marcos Giron,6.0,53.0,0
2024-06-17,Dominik Koepfer,Felix Auger Aliassime,Dominik Koepfer,70.0,18.0,1
2024-06-17,Tomas Machac,Arthur Fils,Arthur Fils,36.0,37.0,0
2024-06-17,Lorenzo Sonego,Miomir Kecmanovic,Lorenzo Sonego,57.0,54.0,1
2024-06-17,Oscar Otte,Alexander Zverev,Alexander Zverev,474.0,4.0,0
2024-06-17,Tommy Paul,Lorenzo Musetti,Tommy Paul,13.0,30.0,1
2024-06-17,Sebastian Korda,Tommy Paul,Tommy Paul,23.0,13.0,0
2024-06-17,Lorenzo Musetti,Jordan Thompson,Lorenzo Musetti,30.0,43.0,1
2024-06-17,Jack Draper,Tommy Paul,Tommy Paul,31.0,13.0,0
2024-06-17,Sebastian Korda,Rinky Hijikata,Sebastian Korda,23.0,98.0,1
2024-06-17,Taylor Fritz,Jordan Thompson,Jordan Thompson,12.0,43.0,0
2024-06-17,Lorenzo Musetti,Billy Harris,Lorenzo Musetti,30.0,162.0,1
2024-06-17,Carlos Alcaraz,Jack Draper,Jack Draper,2.0,31.0,0
2024-06-17,Tommy Paul,Alejandro Tabilo,Tommy Paul,13.0,24.0,1
2024-06-17,Grigor Dimitrov,Sebastian Korda,Sebastian Korda,10.0,23.0,0
2024-06-17,Rinky Hijikata,Matteo Arnaldi,Rinky Hijikata,98.0,35.0,1
2024-06-17,Andy Murray,Jordan Thompson,Jordan Thompson,129.0,43.0,0
2024-06-17,Taylor Fritz,Milos Raonic,Taylor Fritz,12.0,186.0,1
2024-06-17,Giovanni Mpetshi Perricard,Billy Harris,Billy Harris,67.0,162.0,0
2024-06-17,Lorenzo Musetti,Brandon Nakashima,Lorenzo Musetti,30.0,63.0,1
2024-06-17,Francisco Cerundolo,Carlos Alcaraz,Carlos Alcaraz,26.0,2.0,0
2024-06-17,Jack Draper,Mariano Navone,Jack Draper,31.0,29.0,1
2024-06-17,Alejandro Davidovich Fokina,Alejandro Tabilo,Alejandro Tabilo,33.0,24.0,0
2024-06-17,Tommy Paul,Sebastian Baez,Tommy Paul,13.0,19.0,1
2024-06-17,Adrian Mannarino,Grigor Dimitrov,Grigor Dimitrov,21.0,10.0,0
2024-06-17,Sebastian Korda,Karen Khachanov,Sebastian Korda,23.0,22.0,1
2024-06-17,Frances Tiafoe,Rinky Hijikata,Rinky Hijikata,28.0,98.0,0
2024-06-17,Matteo Arnaldi,Ugo Humbert,Matteo Arnaldi,35.0,16.0,1
2024-06-17,Holger Rune,Jordan Thompson,Jordan Thompson,15.0,43.0,0
2024-06-17,Andy Murray,Alexei Popyrin,Andy Murray,129.0,48.0,1
2024-06-17,Cameron Norrie,Milos Raonic,Milos Raonic,39.0,186.0,0
2024-06-17,Taylor Fritz,Taro Daniel,Taylor Fritz,12.0,85.0,1
2024-06-17,Ben Shelton,Giovanni Mpetshi Perricard,Giovanni Mpetshi Perricard,14.0,67.0,0
2024-06-17,Billy Harris,Tomas Martin Etcheverry,Billy Harris,162.0,32.0,1
2024-06-17,Daniel Evans,Brandon Nakashima,Brandon Nakashima,59.0,63.0,0
2024-06-17,Lorenzo Musetti,Alex De Minaur,Lorenzo Musetti,30.0,7.0,1
2024-06-24,Sebastian Ofner,Alejandro Tabilo,Alejandro Tabilo,54.0,24.0,0
2024-06-24,Sebastian Ofner,Paul Jubb,Sebastian Ofner,54.0,289.0,1
2024-06-24,Gael Monfils,Alejandro Tabilo,Alejandro Tabilo,40.0,24.0,0
2024-06-24,Paul Jubb,Ben Shelton,Paul Jubb,289.0,14.0,1
2024-06-24,Alex Michelsen,Sebastian Ofner,Sebastian Ofner,62.0,54.0,0
2024-06-24,Alejandro Tabilo,Jakub Mensik,Alejandro Tabilo,24.0,85.0,1
2024-06-24,Roberto Bautista Agut,Gael Monfils,Gael Monfils,122.0,40.0,0
2024-06-24,Ben Shelton,Rinky Hijikata,Ben Shelton,14.0,75.0,1
2024-06-24,Adam Walton,Paul Jubb,Paul Jubb,107.0,289.0,0
2024-06-24,Alex Michelsen,Adrian Mannarino,Alex Michelsen,62.0,22.0,1
2024-06-24,Luciano Darderi,Sebastian Ofner,Sebastian Ofner,37.0,54.0,0
2024-06-24,Jakub Mensik,Fabio Fognini,Jakub Mensik,85.0,97.0,1
2024-06-24,Alexander Shevchenko,Alejandro Tabilo,Alejandro Tabilo,58.0,24.0,0
2024-06-24,Gael Monfils,Roberto Carballes Baena,Gael Monfils,40.0,65.0,1
2024-06-24,Ugo Humbert,Roberto Bautista Agut,Roberto Bautista Agut,16.0,122.0,0
2024-06-24,Rinky Hijikata,Luca Nardi,Rinky Hijikata,75.0,73.0,1
2024-06-24,Maximilian Marterer,Paul Jubb,Paul Jubb,87.0,289.0,0
2024-06-24,Adam Walton,Yannick Hanfmann,Adam Walton,107.0,95.0,1
2024-06-24,Nuno Borges,Alex Michelsen,Alex Michelsen,51.0,62.0,0
2024-06-24,Sebastian Ofner,Jaume Munar,Sebastian Ofner,54.0,63.0,1
2024-06-24,Pedro Martinez,Luciano Darderi,Luciano Darderi,48.0,37.0,0
2024-06-24,Jakub Mensik,Christopher Eubanks,Jakub Mensik,85.0,42.0,1
2024-06-24,Gijs Brouwer,Fabio Fognini,Fabio Fognini,190.0,97.0,0
2024-06-24,Alexander Shevchenko,Constant Lestienne,Alexander Shevchenko,58.0,90.0,1
2024-06-24,Dominic Thiem,Gael Monfils,Gael Monfils,134.0,40.0,0
2024-06-24,Roberto Carballes Baena,Pablo Carreno Busta,Roberto Carballes Baena,65.0,796.0,1
2024-06-24,Taro Daniel,Roberto Bautista Agut,Roberto Bautista Agut,83.0,122.0,0
2024-06-24,Taylor Fritz,Max Purcell,Taylor Fritz,13.0,94.0,1
2024-06-24,Aleksandar Vukic,Taylor Fritz,Taylor Fritz,81.0,13.0,0
2024-06-24,Max Purcell,Billy Harris,Max Purcell,94.0,139.0,1
2024-06-24,Juncheng Shang,Taylor Fritz,Taylor Fritz,104.0,13.0,0
2024-06-24,Billy Harris,Flavio Cobolli,Billy Harris,139.0,49.0,1
2024-06-24,Miomir Kecmanovic,Max Purcell,Max Purcell,53.0,94.0,0
2024-06-24,Aleksandar Vukic,Yoshihito Nishioka,Aleksandar Vukic,81.0,102.0,1
2024-06-24,Thiago Seyboth Wild,Taylor Fritz,Taylor Fritz,74.0,13.0,0
2024-06-24,Aleksandar Vukic,Alexander Bublik,Aleksandar Vukic,81.0,23.0,1
2024-06-24,Sebastian Baez,Miomir Kecmanovic,Miomir Kecmanovic,18.0,53.0,0
2024-06-24,Flavio Cobolli,Giles Hussey,Flavio Cobolli,49.0,359.0,1
2024-06-24,Charles Broom,Billy Harris,Billy Harris,245.0,139.0,0
2024-06-24,Yoshihito Nishioka,Marcos Giron,Yoshihito Nishioka,102.0,46.0,1
2024-06-24,Lorenzo Sonego,Max Purcell,Max Purcell,57.0,94.0,0
2024-06-24,Juncheng Shang,Emil Ruusuvuori,Juncheng Shang,104.0,88.0,1
2024-06-24,Francisco Cerundolo,Marcos Giron,Marcos Giron,27.0,46.0,0
2024-06-24,Giles Hussey,Mariano Navone,Giles Hussey,359.0,32.0,1
2024-06-24,Tomas Martin Etcheverry,Juncheng Shang,Juncheng Shang,31.0,104.0,0
2024-06-24,Flavio Cobolli,Arthur Rinderknech,Flavio Cobolli,49.0,68.0,1
2024-06-24,Jacob Fearnley,Billy Harris,Billy Harris,271.0,139.0,0
2024-06-24,Miomir Kecmanovic,Zhizhen Zhang,Miomir Kecmanovic,53.0,33.0,1
2024-06-24,Liam Broady,Yoshihito Nishioka,Yoshihito Nishioka,146.0,102.0,0
2024-06-24,Max Purcell,Laslo Djere,Max Purcell,94.0,52.0,1
2024-06-24,Cameron Norrie,Emil Ruusuvuori,Emil Ruusuvuori,44.0,88.0,0
2024-06-24,Thiago Seyboth Wild,James Mccabe,Thiago Seyboth Wild,74.0,342.0,1
2024-06-24,Henry Searle,Lorenzo Sonego,Lorenzo Sonego,568.0,57.0,0
2024-06-24,Aleksandar Vukic,Fabian Marozsan,Aleksandar Vukic,81.0,45.0,1
2024-07-01,Yannick Hanfmann,Jannik Sinner,Jannik Sinner,110.0,1.0,0
2024-07-01,Matteo Berrettini,Marton Fucsovics,Matteo Berrettini,59.0,70.0,1
2024-07-01,Sumit Nagal,Miomir Kecmanovic,Miomir Kecmanovic,73.0,52.0,0
2024-07-01,Tallon Griekspoor,Daniel Elahi Galan,Tallon Griekspoor,27.0,103.0,1
2024-07-01,Nicolas Jarry,Denis Shapovalov,Denis Shapovalov,20.0,121.0,0
2024-07-01,Daniel Altmaier,Arthur Fery,Daniel Altmaier,80.0,247.0,1
2024-07-01,Alex Michelsen,Lloyd Harris,Lloyd Harris,55.0,118.0,0
2024-07-01,Ben Shelton,Mattia Bellucci,Ben Shelton,14.0,148.0,1
2024-07-01,Dusan Lajovic,Grigor Dimitrov,Grigor Dimitrov,56.0,10.0,0
2024-07-01,Juncheng Shang,Cristian Garin,Juncheng Shang,91.0,106.0,1
2024-07-01,Charles Broom,Stan Wawrinka,Stan Wawrinka,248.0,95.0,0
2024-07-01,Gael Monfils,Adrian Mannarino,Gael Monfils,33.0,24.0,1
2024-07-01,Maxime Janvier,Zhizhen Zhang,Zhizhen Zhang,225.0,38.0,0
2024-07-01,Jan Lennard Struff,Fabian Marozsan,Jan Lennard Struff,41.0,43.0,1
2024-07-01,Hugo Gaston,Alexandre Muller,Alexandre Muller,71.0,102.0,0
2024-07-01,Daniil Medvedev,Aleksandar Kovacevic,Daniil Medvedev,5.0,88.0,1
2024-07-01,Mark Lajal,Carlos Alcaraz,Carlos Alcaraz,269.0,3.0,0
2024-07-01,Aleksandar Vukic,Sebastian Ofner,Aleksandar Vukic,69.0,45.0,1
2024-07-01,Felipe Meligeni Alves,Borna Coric,Borna Coric,145.0,89.0,0
2024-07-01,Frances Tiafoe,Matteo Arnaldi,Frances Tiafoe,29.0,35.0,1
2024-07-01,Sebastian Baez,Brandon Nakashima,Brandon Nakashima,18.0,65.0,0
2024-07-01,Jordan Thompson,Pavel Kotov,Jordan Thompson,40.0,53.0,1
2024-07-01,Liam Broady,Botic Van De Zandschulp,Botic Van De Zandschulp,156.0,97.0,0
2024-07-01,Ugo Humbert,Alexander Shevchenko,Ugo Humbert,16.0,57.0,1
2024-07-01,Pedro Martinez,Tommy Paul,Tommy Paul,49.0,13.0,0
2024-07-01,Otto Virtanen,Max Purcell,Otto Virtanen,147.0,68.0,1
2024-07-01,Zizou Bergs,Arthur Cazaux,Arthur Cazaux,82.0,98.0,0
2024-07-01,Alexander Bublik,Jakub Mensik,Alexander Bublik,23.0,78.0,1
2024-07-01,Mariano Navone,Lorenzo Sonego,Lorenzo Sonego,32.0,54.0,0
2024-07-01,Roberto Bautista Agut,Maximilian Marterer,Roberto Bautista Agut,112.0,85.0,1
2024-07-01,Luca Van Assche,Fabio Fognini,Fabio Fognini,104.0,94.0,0
2024-07-01,Casper Ruud,Alex Bolt,Casper Ruud,8.0,234.0,1
2024-07-01,Andrey Rublev,Francisco Comesana,Francisco Comesana,6.0,122.0,0
2024-07-01,Adam Walton,Federico Coria,Adam Walton,101.0,72.0,1
2024-07-01,Jan Choinski,Luciano Darderi,Luciano Darderi,174.0,37.0,0
2024-07-01,Lorenzo Musetti,Constant Lestienne,Lorenzo Musetti,25.0,92.0,1
2024-07-01,Sebastian Korda,Giovanni Mpetshi Perricard,Giovanni Mpetshi Perricard,21.0,58.0,0
2024-07-01,Yoshihito Nishioka,Nuno Borges,Yoshihito Nishioka,90.0,50.0,1
2024-07-01,Mackenzie Mcdonald,Emil Ruusuvuori,Emil Ruusuvuori,96.0,87.0,0
2024-07-01,Stefanos Tsitsipas,Taro Daniel,Stefanos Tsitsipas,11.0,84.0,1
2024-07-01,Christopher Oconnell,Taylor Fritz,Taylor Fritz,79.0,12.0,0
2024-07-01,Arthur Rinderknech,Kei Nishikori,Arthur Rinderknech,76.0,401.0,1
2024-07-01,Rinky Hijikata,Flavio Cobolli,Flavio Cobolli,77.0,48.0,0
2024-07-01,Alejandro Tabilo,Daniel Evans,Alejandro Tabilo,19.0,60.0,1
2024-07-01,Elias Ymer,Jack Draper,Jack Draper,205.0,28.0,0
2024-07-01,Cameron Norrie,Facundo Diaz Acosta,Cameron Norrie,42.0,67.0,1
2024-07-01,Henry Searle,Marcos Giron,Marcos Giron,539.0,46.0,0
2024-07-01,Alexander Zverev,Roberto Carballes Baena,Alexander Zverev,4.0,64.0,1
2024-07-01,Radu Albot,Hubert Hurkacz,Hubert Hurkacz,144.0,7.0,0
2024-07-01,Arthur Fils,Dominic Stricker,Arthur Fils,34.0,149.0,1
2024-07-01,David Goffin,Tomas Machac,Tomas Machac,83.0,39.0,0
2024-07-01,Roman Safiullin,Francisco Cerundolo,Roman Safiullin,44.0,30.0,1
2024-07-01,Felix Auger Aliassime,Thanasi Kokkinakis,Thanasi Kokkinakis,17.0,93.0,0
2024-07-01,Lucas Pouille,Laslo Djere,Lucas Pouille,212.0,51.0,1
2024-07-01,Billy Harris,Jaume Munar,Jaume Munar,116.0,63.0,0
2024-07-01,Alex De Minaur,James Duckworth,Alex De Minaur,9.0,81.0,1
2024-07-01,Soon Woo Kwon,Holger Rune,Holger Rune,367.0,15.0,0
2024-07-01,Thiago Seyboth Wild,Paul Jubb,Thiago Seyboth Wild,74.0,201.0,1
2024-07-01,Christopher Eubanks,Quentin Halys,Quentin Halys,62.0,220.0,0
2024-07-01,Karen Khachanov,Aslan Karatsev,Karen Khachanov,22.0,99.0,1
2024-07-01,Luca Nardi,Tomas Martin Etcheverry,Tomas Martin Etcheverry,75.0,31.0,0
2024-07-01,Alexei Popyrin,Thiago Monteiro,Alexei Popyrin,47.0,86.0,1
2024-07-01,Alejandro Moro Canas,Jacob Fearnley,Jacob Fearnley,188.0,277.0,0
2024-07-01,Novak Djokovic,Vit Kopriva,Novak Djokovic,2.0,123.0,1
2024-07-01,Matteo Berrettini,Jannik Sinner,Jannik Sinner,59.0,1.0,0
2024-07-01,Miomir Kecmanovic,Tallon Griekspoor,Miomir Kecmanovic,52.0,27.0,1
2024-07-01,Daniel Altmaier,Denis Shapovalov,Denis Shapovalov,80.0,121.0,0
2024-07-01,Ben Shelton,Lloyd Harris,Ben Shelton,14.0,118.0,1
2024-07-01,Juncheng Shang,Grigor Dimitrov,Grigor Dimitrov,91.0,10.0,0
2024-07-01,Gael Monfils,Stan Wawrinka,Gael Monfils,33.0,95.0,1
2024-07-01,Zhizhen Zhang,Jan Lennard Struff,Jan Lennard Struff,38.0,41.0,0
2024-07-01,Daniil Medvedev,Alexandre Muller,Daniil Medvedev,5.0,102.0,1
2024-07-01,Aleksandar Vukic,Carlos Alcaraz,Carlos Alcaraz,69.0,3.0,0
2024-07-01,Frances Tiafoe,Borna Coric,Frances Tiafoe,29.0,89.0,1
2024-07-01,Jordan Thompson,Brandon Nakashima,Brandon Nakashima,40.0,65.0,0
2024-07-01,Ugo Humbert,Botic Van De Zandschulp,Ugo Humbert,16.0,97.0,1
2024-07-01,Otto Virtanen,Tommy Paul,Tommy Paul,147.0,13.0,0
2024-07-01,Alexander Bublik,Arthur Cazaux,Alexander Bublik,23.0,98.0,1
2024-07-01,Lorenzo Sonego,Roberto Bautista Agut,Roberto Bautista Agut,54.0,112.0,0
2024-07-01,Fabio Fognini,Casper Ruud,Fabio Fognini,94.0,8.0,1
2024-07-01,Adam Walton,Francisco Comesana,Francisco Comesana,101.0,122.0,0
2024-07-01,Lorenzo Musetti,Luciano Darderi,Lorenzo Musetti,25.0,37.0,1
2024-07-01,Yoshihito Nishioka,Giovanni Mpetshi Perricard,Giovanni Mpetshi Perricard,90.0,58.0,0
2024-07-01,Emil Ruusuvuori,Stefanos Tsitsipas,Emil Ruusuvuori,87.0,11.0,1
2024-07-01,Arthur Rinderknech,Taylor Fritz,Taylor Fritz,76.0,12.0,0
2024-07-01,Alejandro Tabilo,Flavio Cobolli,Alejandro Tabilo,19.0,48.0,1
2024-07-01,Jack Draper,Cameron Norrie,Cameron Norrie,28.0,42.0,0
2024-07-01,Alexander Zverev,Marcos Giron,Alexander Zverev,4.0,46.0,1
2024-07-01,Hubert Hurkacz,Arthur Fils,Arthur Fils,7.0,34.0,0
2024-07-01,Roman Safiullin,Tomas Machac,Roman Safiullin,44.0,39.0,1
2024-07-01,Thanasi Kokkinakis,Lucas Pouille,Lucas Pouille,93.0,212.0,0
2024-07-01,Alex De Minaur,Jaume Munar,Alex De Minaur,9.0,63.0,1
2024-07-01,Thiago Seyboth Wild,Holger Rune,Holger Rune,74.0,15.0,0
2024-07-01,Quentin Halys,Karen Khachanov,Quentin Halys,220.0,22.0,1
2024-07-01,Tomas Martin Etcheverry,Alexei Popyrin,Alexei Popyrin,31.0,47.0,0
2024-07-01,Novak Djokovic,Jacob Fearnley,Novak Djokovic,2.0,277.0,1
2024-07-01,Miomir Kecmanovic,Jannik Sinner,Jannik Sinner,52.0,1.0,0
2024-07-01,Ben Shelton,Denis Shapovalov,Ben Shelton,14.0,121.0,1
2024-07-01,Gael Monfils,Grigor Dimitrov,Grigor Dimitrov,33.0,10.0,0
2024-07-01,Daniil Medvedev,Jan Lennard Struff,Daniil Medvedev,5.0,41.0,1
2024-07-01,Frances Tiafoe,Carlos Alcaraz,Carlos Alcaraz,29.0,3.0,0
2024-07-01,Ugo Humbert,Brandon Nakashima,Ugo Humbert,16.0,65.0,1
2024-07-01,Alexander Bublik,Tommy Paul,Tommy Paul,23.0,13.0,0
2024-07-01,Roberto Bautista Agut,Fabio Fognini,Roberto Bautista Agut,112.0,94.0,1
2024-07-01,Francisco Comesana,Lorenzo Musetti,Lorenzo Musetti,122.0,25.0,0
2024-07-01,Giovanni Mpetshi Perricard,Emil Ruusuvuori,Giovanni Mpetshi Perricard,58.0,87.0,1
2024-07-01,Alejandro Tabilo,Taylor Fritz,Taylor Fritz,19.0,12.0,0
2024-07-01,Alexander Zverev,Cameron Norrie,Alexander Zverev,4.0,42.0,1
2024-07-01,Roman Safiullin,Arthur Fils,Arthur Fils,44.0,34.0,0
2024-07-01,Alex De Minaur,Lucas Pouille,Alex De Minaur,9.0,212.0,1
2024-07-01,Quentin Halys,Holger Rune,Holger Rune,220.0,15.0,0
2024-07-01,Novak Djokovic,Alexei Popyrin,Novak Djokovic,2.0,47.0,1
